title,product_price,original_price,price_w_discount,url
Spiderman Web Shooter (Web Shoot Launcher),466,"1,000",419.40,https://snooplay.in/products/spiderman-web-shooter-web-shoot-launcher
Battery Operated Simulated Washing Machine with Rotating Drum (3-7 Years),"1,840","3,500",,https://snooplay.in/products/battery-operated-simulated-washing-machine-with-rotating-drum-3-7-years
Magical Water Painting Set (5-7 Years),399,"1,119",359.10,https://snooplay.in/products/magical-water-painting-set-5-7-years
Monopoly Deal Card Game - Indian States | Hindi Version (6 Years till Grown Ups),269.10,299,,https://snooplay.in/products/monopoly-deal-card-game-indian-states-hindi-version-6-years-till-grown-ups#MainContent
DIY Jelly Mix (Strawberry) with Unicorn Mould,320,349,288,https://snooplay.in/products/whip-up-magic-diy-strawberry-jelly-mix-with-unicorn-mould-gifting-combo
"""My First Christmas Book""Cloth Book (English Educational Book)",499,599,449.10,https://snooplay.in/products/my-first-christmas-bookcloth-book-english
Christmas Puzzle - Dark Red,399,599,359.10,https://snooplay.in/products/christmas-puzzle-dark-red
Christmas Puzzle - Light Red,399,599,359.10,https://snooplay.in/products/christmas-puzzle-light-red
Christmas Craft Kit (4-8 Years),599,699,539.10,https://snooplay.in/products/christmas-craft-kit-4-8-years
A Christmas Morning - Festivals Puzzle,MRP: 899.00,,809.10,https://snooplay.in/products/a-christmas-morning-festivals-puzzle
"Christmas Cheer Craft Activity Box, Wonderful Mix of 6 Craft Activities to Celebrate Christmas Festival, DIY Hobby Craft Kit for Kids and Adults","MRP: 1,299.00",,"1,169.10",https://snooplay.in/products/kalakaram-christmas-cheer-craft-activity-box-wonderful-mix-of-6-craft-activities-to-celebrate-christmas-festival-diy-hobby-craft-kit-for-kids-and-adults-christmas-gift-for-girls-and-boys
Pendulum - STEM Educational DIY Wooden Puzzle (12-17 Years),"1,500","1,650","1,350",https://snooplay.in/products/pendulum-stem-educational-diy-wooden-puzzle-12-17-years
Wooden Blocks & Puzzles Game (1-2 Years),MRP: 949.00,,854.10,https://snooplay.in/products/wooden-blocks-puzzles-game-1-2-years
DIY Robotics & AI Kit – STEM Projects with Modular Electronics (8-14 Years),"3,499","4,000","3,149.10",https://snooplay.in/products/diy-robotics-ai-kit-stem-projects-with-modular-electronics-8-14-years
5 in 1 Ambulance Set For Kids (Toy Cars Playset),629.10,699,566.19,https://snooplay.in/products/5-in-1-ambulance-set-toy-cars-vehicles-set-for-kids
5 in 1 Craft Kit For Kids - Art & Craft (5-10 Years),525,700,472.50,https://snooplay.in/products/5-in-1-craft-kit-for-kids-art-craft-5-10-years
Honda CBR 1000RR 1:18 Scale Diecast Bike Model,715.50,795,643.95,https://snooplay.in/products/honda-cbr-1000rr-1-18-scale-diecast-bike-toy-model
"Unicorn Stationery, Cosmetic & Gadget Organiser",MRP: 539.10,,485.19,https://snooplay.in/products/unicorn-3d-stationery-gadget-cosmetic-electronics-organiser
Ducati Diavel Carbon (1:18 Scale) Diecast Bike Model,MRP: 795.00,,,https://snooplay.in/products/ducati-diavel-1-12-scale-diecast-bike-model
4-in-1 Wonders of India Jumbo Jigsaw Puzzle - 4 x 99 Pieces (5-6 Years),299,330,269.10,https://snooplay.in/products/4-in-1-wonders-of-india-jumbo-jigsaw-puzzle-4-x-99-pieces-5-6-years
SUV Diecast Car (3221) resembling Hummer (1:32 Scale) - Assorted Colours,450,525,405,https://snooplay.in/products/hummer-die-cast-car-miniature-model-toy
Archery Set with Glowing Sword & Suction Arrows (4-8 Years),515,599,463.50,https://snooplay.in/products/archery-set-with-glowing-sword-suction-arrows-4-8-years
UNO Cricket Card Game (7 Years till Grown Ups),MRP: 199.00,,,https://snooplay.in/products/uno-cricket-card-game-7-years-till-grown-ups
Fluffy Coral Soft Toy (6 Months - 7 Years) | Yellow,MRP: 549.00,,494.10,https://snooplay.in/products/fluffy-coral-soft-toy-6-months-7-years-yellow
