title,product_price,original_price,price_w_discount,url
Remote Controlled Resembling Defender Toy Car | 1:16 Scale (5-12 Years) | Assorted Colors,"₹ 1,399
","MRP: ₹ 1,499
",,https://snooplay.in/products/remote-controlled-resembling-defender-toy-car-1-16-scale-5-12-years-assorted-colors#MainContent
DIY Kit: Create Your Own Colorful Rope Bracelets (6-10 Years),"₹ 1,399
","MRP: ₹ 1,850
","
                              Best Price ₹ 1,259.10
                              ",https://snooplay.in/products/diy-kit-create-your-own-colorful-rope-bracelets-6-10-years#MainContent
Air Hockey Set - Play Anywhere (6 Years till Grown Ups),"₹ 629.10
","MRP: ₹ 699
","
                              Best Price ₹ 566.19
                              ",https://snooplay.in/products/air-hockey-set-play-anywhere-6-years-till-grown-ups#MainContent
Dino Soap Kit (6-8 Years),"₹ 299
","MRP: ₹ 399
","
                              Best Price ₹ 269.10
                              ",https://snooplay.in/products/dino-soap-kit-6-8-years#MainContent
"Electronic Steering Wheel - Forward, Reverse, Parking (Sound & Light) - Assorted Colors (3-8 Years)","₹ 1,485
","MRP: ₹ 2,800
",,https://snooplay.in/products/electronic-steering-wheel-forward-reverse-parking-sound-light-assorted-colors-3-8-years#MainContent
Spirograph Game (Create Unlimited Designs) - Art & Craft Kit (8-16 Years),"₹ 668
","MRP: ₹ 890
","
                              Best Price ₹ 601.20
                              ",https://snooplay.in/products/spirograph-game-create-unlimited-designs-art-craft-kit-8-16-years#MainContent
12 Colors Air Dry Magic Clay with Sculpting Tools - Pack of 12 (2-8 Years),"₹ 215
","MRP: ₹ 499
","
                              Best Price ₹ 193.50
                              ",https://snooplay.in/products/12-colors-air-dry-magic-clay-with-sculpting-tools-pack-of-12-2-8-years#MainContent
"Electronic Basketball Game Set (Score Board, Moving Basket & More)","₹ 2,599
","MRP: ₹ 3,500
",,https://snooplay.in/products/electronic-basketball-game-set-score-board-moving-basket-more
Hand & Feet Twister Jumping Hopscotch Play Mat (2-10 Years),"₹ 474.05
","MRP: ₹ 1,499
","
                              Best Price ₹ 426.65
                              ",https://snooplay.in/products/hand-feet-twister-jumping-hopscotch-play-mat-2-10-years
Original Land Rover Series II Licensed Diecast Car with Openable Doors | 1:24 Scale Model (14 Years Till Grown Ups),"MRP: ₹ 2,295.00
",,,https://snooplay.in/products/original-land-rover-series-ii-licensed-diecast-car-with-openable-doors-1-24-scale-model-14-years-till-grown-ups
