title,product_price,original_price,price_w_discount,url
DIY Robotics & AI Kit – STEM Projects with Modular Electronics (8-14 Years),3499.0,4000.0,3149.1,https://snooplay.in/products/diy-robotics-ai-kit-stem-projects-with-modular-electronics-8-14-years#MainContent
Wooden Blocks & Puzzles Game (1-2 Years),949.0,,854.1,https://snooplay.in/products/wooden-blocks-puzzles-game-1-2-years#MainContent
Christmas Craft Kit (4-8 Years),599.0,699.0,539.1,https://snooplay.in/products/christmas-craft-kit-4-8-years#MainContent
Battery Operated Simulated Washing Machine with Rotating Drum (3-7 Years),1840.0,3500.0,,https://snooplay.in/products/battery-operated-simulated-washing-machine-with-rotating-drum-3-7-years#MainContent
Resembling Lamborghini LP770ss Diecast Car | 1:32 Scale (3 Years till Grown Ups),1199.0,2999.0,1079.1,https://snooplay.in/products/resembling-lamborghini-lp770ss-diecast-car-1-32-scale-3-years-till-grown-ups#MainContent
Magical Water Painting Set (5-7 Years),399.0,1119.0,359.1,https://snooplay.in/products/magical-water-painting-set-5-7-years#MainContent
Pendulum - STEM Educational DIY Wooden Puzzle (12-17 Years),1500.0,1650.0,1350.0,https://snooplay.in/products/pendulum-stem-educational-diy-wooden-puzzle-12-17-years#MainContent
Ludo Game (Travel Edition) - Mini Board Game (4 Years till Grown Ups),224.1,249.0,201.69,https://snooplay.in/products/ludo-game-travel-edition-mini-board-game-4-years-till-grown-ups#MainContent
Original Skip Bo Card Game (7 Years till Grown Ups),299.0,599.0,,https://snooplay.in/products/original-skip-bo-card-game-7-years-till-grown-ups-1#MainContent
Monopoly Deal Card Game - Indian States | Hindi Version (6 Years till Grown Ups),269.1,299.0,,https://snooplay.in/products/monopoly-deal-card-game-indian-states-hindi-version-6-years-till-grown-ups#MainContent
Resembling Red BRABUS G700 New Diecast Car | 1:32 Scale (3 Years till Grown Ups),1399.0,2999.0,1259.1,https://snooplay.in/products/resembling-red-brabus-g700-new-diecast-car-1-32-scale-3-years-till-grown-ups#MainContent
Original Jawa Yezdi Classic Licensed Diecast Bike | 1:18 Scale Model (14 Years Till Grown Ups),1099.0,1299.0,,https://snooplay.in/products/original-jawa-yezdi-classic-licensed-diecast-bike-1-18-scale-model-14-years-till-grown-ups
Original Mercedes-Benz 300 SL (1954) Licensed Diecast Car with Openable Doors | 1:24 Scale Model (14 Years Till Grown Ups),2295.0,,,https://snooplay.in/products/original-mercedes-benz-300-sl-1954-licensed-diecast-car-with-openable-doors-1-24-scale-model-14-years-till-grown-ups
Original Land Rover Series II Licensed Diecast Car with Openable Doors | 1:24 Scale Model (14 Years Till Grown Ups),2295.0,,,https://snooplay.in/products/original-land-rover-series-ii-licensed-diecast-car-with-openable-doors-1-24-scale-model-14-years-till-grown-ups
Original Volkswagen Beetle Licensed Diecast Car with Openable Doors | 1:24 Scale Model (14 Years Till Grown Ups),2295.0,,,https://snooplay.in/products/original-volkswagen-beetle-licensed-diecast-car-with-openable-doors-1-24-scale-model-14-years-till-grown-ups
Sweet Kitchen Set For Kids Pretend Playset (3-5 Years),571.5,635.0,514.35,https://snooplay.in/products/sweet-kitchen-set-for-kids-pretend-playset-3-5-years
Foldable Doll House Play Set (3-7 Years),719.1,799.0,647.19,https://snooplay.in/products/foldable-doll-house-play-set-3-7-years
Social Humour Cards Game (18 Years till Grown Ups),989.1,1100.0,890.19,https://snooplay.in/products/social-humour-cards-game-18-years-till-grown-ups?_pos=1amp%3B_sid%3D7fd6cc749amp%3B_ss%3Dr
Natural Rubber Foam Tool Set For Kids,864.0,1499.0,777.6,https://snooplay.in/products/natural-rubber-foam-tool-set-toy-for-kids-pretend-playset?_pos=1amp%3B_sid%3D0019764a2amp%3B_ss%3Dr
Sweet Kitchen Set For Kids Pretend Playset (3-5 Years),571.5,635.0,514.35,https://snooplay.in/products/sweet-kitchen-set-for-kids-pretend-playset-3-5-years#MainContent
Social Humour Cards Game (18 Years till Grown Ups),989.1,1100.0,890.19,https://snooplay.in/products/social-humour-cards-game-18-years-till-grown-ups
Natural Rubber Foam Tool Set For Kids,864.0,1499.0,777.6,https://snooplay.in/products/natural-rubber-foam-tool-set-toy-for-kids-pretend-playset?_pos=1amp%3B_sid%3D0019764a2amp%3B_ss%3Dr#MainContent
Social Humour Cards Game (18 Years till Grown Ups),989.1,1100.0,890.19,https://snooplay.in/products/social-humour-cards-game-18-years-till-grown-ups?_pos=1amp%3B_sid%3D7fd6cc749amp%3B_ss%3Dr#MainContent
Foldable Doll House Play Set (3-7 Years),719.1,799.0,647.19,https://snooplay.in/products/foldable-doll-house-play-set-3-7-years#MainContent
Natural Rubber Foam Tool Set For Kids,864.0,1499.0,777.6,https://snooplay.in/products/natural-rubber-foam-tool-set-toy-for-kids-pretend-playset
The Game of Life Board Game (9 Years till Grown Ups),764.1,899.0,,https://snooplay.in/products/the-game-of-life-board-game-9-years-till-grown-ups?_pos=1amp%3B_sid%3Dfd26cd888amp%3B_ss%3Dr
The Game of Life Board Game (9 Years till Grown Ups),764.1,899.0,,https://snooplay.in/products/the-game-of-life-board-game-9-years-till-grown-ups
The Game of Life Board Game (9 Years till Grown Ups),764.1,899.0,,https://snooplay.in/products/the-game-of-life-board-game-9-years-till-grown-ups?_pos=1amp%3B_sid%3Dfd26cd888amp%3B_ss%3Dr#MainContent
